i,"{'k': 0.9999681541933176, 'b': 3.184580668239653e-05}"
ib,"{'c': 0.4840833718900563, 'f': 0.5159166281099438}"
ibc,"{'c': 0.817096919992055, 'f': 0.1829030800079449}"
ibf,"{'c': 0.3987712348069281, 'f': 0.6012287651930719}"
ik,"{'k': 0.020840741915303572, 'b': 0.9791592580846963}"
ikb,"{'c': 3.132211219412961e-05, 'f': 0.9999686778878059}"
ikbc,"{'c': 0.9859453035467626, 'f': 0.01405469645323739}"
ikbf,"{'c': 4.402365683019214e-07, 'f': 0.9999995597634317}"
ikk,"{'k': 0.9999586340820698, 'b': 4.136591793024851e-05}"
ikkb,"{'c': 0.5, 'f': 0.5}"
ikkbc,"{'c': 0.5, 'f': 0.5}"
ikkbf,"{'c': 0.5, 'f': 0.5}"
