i,"{'k': 0.4147035570350002, 'b': 0.5852964429649997}"
ib,"{'c': 0.0008199644820399276, 'f': 0.99918003551796}"
ibc,"{'c': 0.7346852354433752, 'f': 0.2653147645566249}"
ibf,"{'c': 0.0002942020332297873, 'f': 0.9997057979667702}"
ik,"{'k': 0.9999680844184068, 'b': 3.191558159313654e-05}"
ikb,"{'c': 0.5, 'f': 0.5}"
ikbc,"{'c': 0.5, 'f': 0.5}"
ikbf,"{'c': 0.5, 'f': 0.5}"
ikk,"{'k': 0.9999446804852226, 'b': 5.531951477736556e-05}"
ikkb,"{'c': 0.765636730427656, 'f': 0.2343632695723439}"
ikkbc,"{'c': 0.6942116974527465, 'f': 0.3057883025472537}"
ikkbf,"{'c': 0.3077221276785796, 'f': 0.6922778723214205}"
